/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    approx_kl            | 0.0260401 |
|    clip_fraction        | 0.314     |
|    clip_range           | 0.2       |
|    entropy_loss         | -4.75     |
|    explained_variance   | 0.799     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0232   |
|    n_updates            | 1800      |
|    policy_gradient_loss | -0.0132   |
|    std                  | 0.415     |
|    value_loss           | 0.0987    |
---------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00892     |
|    E_fric_J             | 0.00651     |
|    E_norm_J             | 0.00178     |
|    W_neg_J              | 0.0141      |
|    W_pos_J              | 0.0249      |
| reward/                 |             |
|    r_energy             | -0.0254     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 11.6        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 182         |
|    time_elapsed         | 16499       |
|    total_timesteps      | 745472      |
| train/                  |             |
|    approx_kl            | 0.028504651 |
|    clip_fraction        | 0.341       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.66       |
|    explained_variance   | 0.801       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00465     |
|    n_updates            | 1810        |
|    policy_gradient_loss | -0.0127     |
|    std                  | 0.411       |
|    value_loss           | 0.111       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0301      |
|    E_fric_J             | 0.00763     |
|    E_norm_J             | 0.019       |
|    W_neg_J              | 0.0447      |
|    W_pos_J              | 0.0657      |
| reward/                 |             |
|    r_energy             | -0.0844     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 11.6        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 183         |
|    time_elapsed         | 16592       |
|    total_timesteps      | 749568      |
| train/                  |             |
|    approx_kl            | 0.035318464 |
|    clip_fraction        | 0.357       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.58       |
|    explained_variance   | 0.814       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.014       |
|    n_updates            | 1820        |
|    policy_gradient_loss | -0.0116     |
|    std                  | 0.407       |
|    value_loss           | 0.102       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00755     |
|    E_fric_J             | 0.00646     |
|    E_norm_J             | 0.00169     |
|    W_neg_J              | 0.0115      |
|    W_pos_J              | 0.0251      |
| reward/                 |             |
|    r_energy             | -0.0231     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 11.9        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 184         |
|    time_elapsed         | 16683       |
|    total_timesteps      | 753664      |
| train/                  |             |
|    approx_kl            | 0.029071461 |
|    clip_fraction        | 0.336       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.54       |
|    explained_variance   | 0.832       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0262     |
|    n_updates            | 1830        |
|    policy_gradient_loss | -0.0125     |
|    std                  | 0.407       |
|    value_loss           | 0.0997      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0332      |
|    E_fric_J             | 0.00734     |
|    E_norm_J             | 0.0199      |
|    W_neg_J              | 0.051       |
|    W_pos_J              | 0.0731      |
| reward/                 |             |
|    r_energy             | -0.0927     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 12.2        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 185         |
|    time_elapsed         | 16773       |
|    total_timesteps      | 757760      |
| train/                  |             |
|    approx_kl            | 0.028404547 |
|    clip_fraction        | 0.327       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.47       |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0346     |
|    n_updates            | 1840        |
|    policy_gradient_loss | -0.0138     |
|    std                  | 0.403       |
|    value_loss           | 0.0929      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00847     |
|    E_fric_J             | 0.00599     |
|    E_norm_J             | 0.0015      |
|    W_neg_J              | 0.0119      |
|    W_pos_J              | 0.0263      |
| reward/                 |             |
|    r_energy             | -0.0237     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 12.2        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 186         |
|    time_elapsed         | 16863       |
|    total_timesteps      | 761856      |
| train/                  |             |
|    approx_kl            | 0.033776887 |
|    clip_fraction        | 0.358       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.41       |
|    explained_variance   | 0.84        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00717     |
|    n_updates            | 1850        |
|    policy_gradient_loss | -0.0132     |
|    std                  | 0.402       |
|    value_loss           | 0.101       |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0294      |
|    E_fric_J             | 0.0071      |
|    E_norm_J             | 0.0188      |
|    W_neg_J              | 0.039       |
|    W_pos_J              | 0.069       |
| reward/                 |             |
|    r_energy             | -0.0812     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | 12.4        |
| time/                   |             |
